Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 52,63.083183866686525,47.61732554946582,,Generation 52,128.85217474956858,86.74758809675825,,Generation 52,182.47472118232764,139.55593979270782,,Generation 52,199.35957046536245,156.3942346293626,,Generation 52,257.0799071860508,206.05116355230416,
Generation 53,75.06923643615622,45.65203196144046,,Generation 53,138.69522291317637,82.57418495108641,,Generation 53,176.93371379100898,132.39189606739114,,Generation 53,193.50075496793517,149.51260365936446,,Generation 53,262.2738537789557,208.035027506103,
Generation 54,78.19004415964606,45.617321932818754,,Generation 54,143.02245589479998,85.5064198017534,,Generation 54,171.55841660372369,133.6994094939963,,Generation 54,204.47126285196774,144.81172550667543,,Generation 54,246.27255481668865,210.443890367545,
Generation 55,96.21386117249389,45.49524616536837,,Generation 55,105.11908980073824,78.51433026694167,,Generation 55,187.44901949016182,133.52565804689652,,Generation 55,187.7515899885215,145.58675114357516,,Generation 55,242.42038396100543,207.16749246240477,
Generation 56,98.92534634337362,46.99233957498086,,Generation 56,106.49750222313372,78.57961415435796,,Generation 56,173.9344164220739,128.284816491475,,Generation 56,196.46262312407546,139.55998944628413,,Generation 56,238.55765965486012,200.82335688403668,
Generation 57,87.79335833388677,46.158510328491616,,Generation 57,89.1947620758307,66.61995019687708,,Generation 57,167.0357716238221,120.40024598358684,,Generation 57,186.05500735682304,142.57515420515062,,Generation 57,238.74051469239024,202.65893123979106,
Generation 58,85.16673287069248,44.34764107847866,,Generation 58,97.99889239304873,69.08799890198281,,Generation 58,144.44638077034287,114.17496744104596,,Generation 58,182.24954005739747,133.83670736787815,,Generation 58,249.09257477134358,201.50721784881125,
Generation 59,101.49443691090185,47.291028070622815,,Generation 59,80.15864419420365,62.660397016511865,,Generation 59,166.67646741658848,111.20351224085971,,Generation 59,193.5198243573367,140.66819695798893,,Generation 59,251.14940627498854,191.1436709591709,
Generation 60,84.03481106820884,46.05055529696119,,Generation 60,92.43413095128986,63.14107402773698,,Generation 60,167.22916456032698,111.20351224085971,,Generation 60,193.9212812519908,132.77093737024404,,Generation 60,234.49217842040105,195.7090033035132,
Generation 61,97.47080320256468,38.04487931573112,,Generation 61,109.00632252454535,64.32806623071849,,Generation 61,154.32325215090643,117.6649413520073,,Generation 61,178.04241244566427,137.82536834296434,,Generation 61,247.026936809998,189.96701553332332,
Generation 62,83.61251120939667,43.49531949403399,,Generation 62,96.24622685371611,63.37738566287442,,Generation 62,165.7876978565591,115.27846884910889,,Generation 62,189.92335593440163,133.33810416014944,,Generation 62,232.69366197446055,189.96701553332332,
Generation 63,101.06993629773652,43.32540043569395,,Generation 63,115.11196591612244,66.24607206041082,,Generation 63,152.56560983700498,114.10745876834119,,Generation 63,190.78372381970587,126.70832016043357,,Generation 63,238.05268430237035,190.77570425211707,
Generation 64,67.36746370940166,44.53899711095323,,Generation 64,118.13473277065434,59.96648309396562,,Generation 64,148.84222808457702,107.2178385228649,,Generation 64,172.56920677344976,129.69892714814284,,Generation 64,239.99936829064566,186.1487909977467,
Generation 65,90.86643429128058,46.00815925185543,,Generation 65,122.47617138546626,61.627537076772,,Generation 65,143.8683088531972,104.76920946399287,,Generation 65,164.98744837266892,124.18281867308815,,Generation 65,226.45967396215863,186.13290043615336,
Generation 66,76.11400106595613,40.68022985613152,,Generation 66,117.02796674401932,60.04176416483699,,Generation 66,155.1478245252295,105.81599108669263,,Generation 66,173.49532190419745,128.16086088056534,,Generation 66,219.93236364754674,182.38226960091458,
