Number of Runs,2
Number of Generations,1000
N (Size of Cromosome),5
P (Size of Population),20

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 78,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 78,15.247268877287507,13.636955666463365,1.3385243274847194,
Generation 79,7.455413524027091,6.012872393654639,0.8531456138788511,,Generation 79,15.775204372331899,13.636955666463365,1.34870810625992,
Generation 80,8.109399124659634,6.012872393654639,0.8825063375896779,,Generation 80,15.84073987205827,13.636955666463365,1.430778800879653,
Generation 81,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 81,13.544214984087125,11.782142018938544,1.33183605202151,
Generation 82,7.450607134817993,6.012872393654639,0.8293023341895638,,Generation 82,16.91622325416173,11.782142018938544,1.3984173688974184,
Generation 83,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 83,13.080511572205918,11.782142018938544,1.2884521729941985,
Generation 84,6.853447406651071,6.012872393654639,0.7975244596140747,,Generation 84,12.43132679557223,11.782142018938544,1.221981431593886,
Generation 85,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 85,14.227422526903876,11.782142018938544,1.293655868631668,
Generation 86,6.175979207883628,6.012872393654639,0.8009609088096711,,Generation 86,12.553934297885435,11.782142018938544,1.1575671807518342,
Generation 87,7.827138173760945,6.012872393654639,0.9077619474098705,,Generation 87,11.691178610129285,9.962873842753382,1.146897478530472,
Generation 88,6.850956209591656,6.012872393654639,0.8033353349702963,,Generation 88,11.600215201320026,9.962873842753382,1.1460296541135275,
Generation 89,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 89,14.369032816542543,9.962873842753382,1.2848200370310316,
Generation 90,6.458751682268691,6.012872393654639,0.7991527736783794,,Generation 90,11.509251792510767,9.962873842753382,1.1451598367569573,
Generation 91,6.52359293108219,6.012872393654639,0.7990605497255674,,Generation 91,11.814857767072223,9.962873842753382,1.1344919698263685,
Generation 92,6.012872393654642,6.012872393654639,0.8002229256040304,,Generation 92,11.73865732527805,9.962873842753382,1.135965124920934,
Generation 93,6.4675815258543565,6.012872393654639,0.8178907005511806,,Generation 93,10.235764069181153,9.962873842753382,1.132770545037118,
Generation 94,6.408746331667326,6.012872393654639,0.7990826720639211,,Generation 94,12.107867335174557,9.962873842753382,1.1346428720787136,
Generation 95,8.558989090963662,6.012872393654639,0.9432499573971344,,Generation 95,9.962873842753377,9.962873842753382,1.1300635217964439,
