Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 79,198.42511328841027,161.65555938208206,,Generation 79,196.43479630608283,155.34782680672288,,Generation 79,195.16352192461528,154.37680350392372,,Generation 79,189.49271846595443,146.6046596829823,,Generation 79,215.15256327734198,166.93553643043276,
Generation 80,196.25790022241438,159.90383699953065,,Generation 80,193.4085486341151,143.06769960415613,,Generation 80,192.81466613775535,151.90562222523954,,Generation 80,186.3871528000118,133.95272682981636,,Generation 80,210.6674510403019,157.89909530541877,
Generation 81,193.63720441568594,156.10383066609882,,Generation 81,192.66162859113214,143.3303706328894,,Generation 81,190.9538143486527,147.11879490813055,,Generation 81,184.40928529037853,137.2632873937531,,Generation 81,211.20751668649874,167.89031063627624,
Generation 82,194.0827173088169,155.4742475669907,,Generation 82,192.99997350265366,146.28521096650752,,Generation 82,188.27584491880174,143.92368891154194,,Generation 82,184.78810242114497,136.4653096339115,,Generation 82,211.1095413011703,165.41681960809797,
Generation 83,192.16767618727732,151.03521509070788,,Generation 83,189.2722573001616,147.39302385295184,,Generation 83,186.2270408288535,140.0370976012233,,Generation 83,183.14051178966517,143.63900629800423,,Generation 83,209.12797176302863,163.8600815589682,
Generation 84,195.6783855167383,159.27411049695172,,Generation 84,188.20673992802742,139.86429829413328,,Generation 84,186.05414338364187,145.65309124127577,,Generation 84,181.07758127857244,138.48333284229295,,Generation 84,204.99056253400272,162.99073764550883,
Generation 85,193.65389609520756,151.83878847899962,,Generation 85,188.65970285286167,142.84517332798634,,Generation 85,187.1877167824168,148.4414028950133,,Generation 85,176.99456478781707,138.27364661223544,,Generation 85,204.36082376158828,159.43641284966532,
Generation 86,190.87545388197282,153.66450314803808,,Generation 86,184.65241584181305,142.34975108799324,,Generation 86,189.24990286668933,143.79503346486138,,Generation 86,178.18198859644107,133.5921272351942,,Generation 86,198.18869924084166,152.09170428354287,
Generation 87,190.72376141108865,155.39926231903019,,Generation 87,183.63079173697523,146.24016421724662,,Generation 87,185.7824335068521,141.66719077904588,,Generation 87,176.57461503454815,135.02757178759555,,Generation 87,196.38304096500323,160.47132088692808,
Generation 88,192.19147268401832,152.34007149798163,,Generation 88,182.82441231651194,139.54184627876475,,Generation 88,185.29140667786294,136.4562320360966,,Generation 88,171.68766565674102,117.59818033687782,,Generation 88,196.07263688611013,148.21096732635738,
Generation 89,191.0515753468519,147.6466046719121,,Generation 89,182.58241313186062,146.7006922817061,,Generation 89,181.8954227870696,141.22448058191662,,Generation 89,175.2190008570441,125.08921219635556,,Generation 89,194.19328766887145,151.24938488268094,
Generation 90,189.31418296820863,152.60773364594468,,Generation 90,183.9731334458163,145.49653227866918,,Generation 90,181.41046259834468,137.92203066348327,,Generation 90,173.1377337678915,130.9058868062142,,Generation 90,193.570794858714,148.1085294126657,
Generation 91,187.73753574087118,149.01801445865385,,Generation 91,185.33875451376974,142.92763314901754,,Generation 91,179.88673556557512,138.46142893511035,,Generation 91,173.7997541481219,130.4304034947511,,Generation 91,192.08762164277715,148.735535616138,
