Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 64,267.7844224519351,212.71055690012986,,Generation 64,248.60578012306308,202.35502447564807,,Generation 64,236.71162312589718,202.52230567567688,,Generation 64,263.58038465809614,207.64300355889804,,Generation 64,278.4155028212849,218.09780301950798,
Generation 65,265.6127008902234,207.60004546115272,,Generation 65,237.44135357915908,193.30022056235157,,Generation 65,249.4349190205525,197.5955113631178,,Generation 65,246.1041295382128,201.34825087521062,,Generation 65,277.9633411068512,216.71662783410147,
Generation 66,254.84468234570548,206.69879289743415,,Generation 66,232.22866566636654,196.16627009436775,,Generation 66,234.88296696366558,197.7932833090165,,Generation 66,242.09788287531606,196.40623267092508,,Generation 66,257.91983065327094,213.80316473983976,
Generation 67,260.70815817315514,201.29614700057346,,Generation 67,229.94375816012624,194.03650082127433,,Generation 67,232.9801006746283,194.42048641478937,,Generation 67,237.43706252408612,196.76436015122488,,Generation 67,264.5854298313153,211.62441348710115,
Generation 68,248.136350753162,204.68981491592297,,Generation 68,241.00344525217966,191.17898386234924,,Generation 68,244.08430996495827,197.48767153339622,,Generation 68,235.37011654143026,194.17789012850858,,Generation 68,252.0984543441234,209.0630705642601,
Generation 69,259.83868783335106,209.52740281143315,,Generation 69,230.93841129693521,192.37878347524872,,Generation 69,242.69962361129612,192.5012423931214,,Generation 69,249.5724961487812,201.16263254591513,,Generation 69,249.13100094679533,203.99918431458843,
Generation 70,243.92200577690363,203.12517503169875,,Generation 70,243.1100343090072,188.152853518283,,Generation 70,247.26339896475042,190.07721353847228,,Generation 70,239.53038777536213,196.25085659186198,,Generation 70,257.79941817862897,203.7992647796416,
Generation 71,238.78568495327625,193.48685515354452,,Generation 71,237.89508958764713,189.5384747815183,,Generation 71,245.7302838036052,189.5838632199143,,Generation 71,247.91747392824757,194.8508869038394,,Generation 71,251.5622722604191,202.7677318553649,
Generation 72,233.748855293509,190.60363745296286,,Generation 72,239.3096394172812,186.91291567993392,,Generation 72,246.49056018161963,190.61093948422467,,Generation 72,250.0944026262379,185.54178158099148,,Generation 72,254.46613557263285,200.98578394814228,
Generation 73,243.35748006016834,189.20672802773413,,Generation 73,229.55101512254484,183.65970535587394,,Generation 73,231.9830492195801,187.51228933361824,,Generation 73,248.28393491104055,196.15270246135742,,Generation 73,239.26577933034216,201.2356620569392,
Generation 74,229.82729052114436,189.26173700222353,,Generation 74,225.19757777483076,186.0219675559639,,Generation 74,223.8674157152306,184.77309218038818,,Generation 74,237.07535445053213,195.71115218121975,,Generation 74,247.13667831047195,196.81870158277263,
Generation 75,241.4294753654668,184.11310521638472,,Generation 75,233.92829045016336,182.97348427687177,,Generation 75,221.5606589822316,184.4502109182912,,Generation 75,242.5880806241023,192.77982648676095,,Generation 75,237.11752978417033,192.50395349899577,
Generation 76,225.58416236685466,182.4425668819888,,Generation 76,220.56069924386819,182.2785893648396,,Generation 76,233.979147211071,183.81442776049403,,Generation 76,229.20096636911202,191.73397441474174,,Generation 76,245.7897637608956,191.9906887981141,
Generation 77,238.3522263846155,188.12185049935192,,Generation 77,231.9172786865944,179.41974342503147,,Generation 77,236.8209383425544,187.6096874968763,,Generation 77,224.53993651721728,190.8419948760287,,Generation 77,245.97823206009681,196.93928110980346,
Generation 78,242.69712109958695,185.16420979047257,,Generation 78,236.6175943031103,177.39330695209048,,Generation 78,223.22075515714775,183.38705073380402,,Generation 78,238.2325262515699,192.0215922858847,,Generation 78,247.4965313463941,187.55015462513734,
Generation 79,241.70018244176728,181.50805229530954,,Generation 79,224.32909322425488,180.89885800417494,,Generation 79,216.85689433430656,180.39039673862953,,Generation 79,241.28422914836167,191.76623835550674,,Generation 79,248.62331230348823,191.06883828515709,
Generation 80,244.2112947987971,184.66198826930224,,Generation 80,232.5389268420964,177.48638007232148,,Generation 80,212.3587184349062,185.1968279186733,,Generation 80,240.43491482112822,189.44601563034269,,Generation 80,245.50866030699564,193.31620095416724,
Generation 81,229.1736318056145,182.65227247574023,,Generation 81,234.56624721464155,177.04002789580352,,Generation 81,226.25991329134288,180.22944802059328,,Generation 81,228.2870087532969,188.56325791403515,,Generation 81,232.019591176609,192.30645380134195,
Generation 82,232.47290370917705,186.33693470368257,,Generation 82,236.22775531090983,175.4430450913394,,Generation 82,214.6054168026007,175.2033671861327,,Generation 82,221.66414495702455,184.28099123982656,,Generation 82,243.58146792856252,190.51827951278653,
Generation 83,218.52505046732466,177.32872411570895,,Generation 83,218.09999606122602,172.64089557083605,,Generation 83,227.31481779679433,178.17550527324715,,Generation 83,215.49445725161132,187.17653561597604,,Generation 83,229.11003573955009,185.95050312237595,
Generation 84,212.7066417711823,172.67332549985713,,Generation 84,226.83238422977723,173.08344425135977,,Generation 84,227.88588899803798,180.66928247277906,,Generation 84,213.8510814850179,184.1145031389966,,Generation 84,224.3306389604272,180.50674610360943,
Generation 85,210.62883533030526,170.51380482139723,,Generation 85,213.94732165317083,168.61461060746012,,Generation 85,229.09664649056558,175.91625267902964,,Generation 85,231.36239939382173,175.63939044490007,,Generation 85,234.77763208300632,183.67667693654084,
Generation 86,205.6751255501566,171.7292565848735,,Generation 86,207.54282556409282,163.98785430190355,,Generation 86,216.71030844640933,168.98049499878357,,Generation 86,216.50724433611552,175.80119680869916,,Generation 86,223.05756017624847,184.2326241037954,
Generation 87,202.6787111970491,170.02847781926982,,Generation 87,203.97748193576675,166.22526249965983,,Generation 87,212.43950436349473,172.9223211355818,,Generation 87,230.22468095064454,176.09284266939233,,Generation 87,217.90393985395983,183.0756369992041,
Generation 88,213.31178049737187,162.43709931025785,,Generation 88,217.57604075398612,173.15035506567438,,Generation 88,210.3101998168656,169.92622491010138,,Generation 88,215.3534827603462,174.6723646919412,,Generation 88,217.43048887999754,185.26322262271128,
Generation 89,218.9924697854962,165.34754342605504,,Generation 89,203.1165552958236,167.8431963557698,,Generation 89,225.48853368727058,171.84575432347197,,Generation 89,212.178065584219,174.92667619208726,,Generation 89,228.89968890004053,179.0574276778084,
Generation 90,215.01933517783374,164.94252236215652,,Generation 90,198.80919864872766,164.8102063833261,,Generation 90,225.97508034183548,173.78958203508546,,Generation 90,207.57874215024069,172.9214338860836,,Generation 90,231.0169639989241,182.83002674380282,
Generation 91,200.84363362528396,164.65887438181176,,Generation 91,211.034434575914,165.44532106260783,,Generation 91,214.97961798963738,169.39620365139876,,Generation 91,222.1702577283413,172.4206264685762,,Generation 91,235.51404609733282,185.06005973328206,
Generation 92,200.43247364382023,165.1817277917304,,Generation 92,198.7746452001832,164.32201190383216,,Generation 92,222.48631491827507,168.55957542075237,,Generation 92,212.32808761340613,169.43482925561239,,Generation 92,224.29541939368298,182.13644797167387,
Generation 93,214.89277495379443,169.59871264637138,,Generation 93,209.4790597967675,162.24662447283367,,Generation 93,208.46980575552254,167.0035771516799,,Generation 93,205.4977649371044,173.58571215699328,,Generation 93,230.46270092619363,185.54375114601248,
Generation 94,215.65026761404295,164.58226331938283,,Generation 94,200.58737329236453,161.11154452726066,,Generation 94,198.88166401695173,161.6929848664504,,Generation 94,201.7730999001038,169.0814718893347,,Generation 94,219.6474697245217,179.20988699298277,
Generation 95,216.09103307097567,160.1791533130256,,Generation 95,209.5822286820264,156.93500297162814,,Generation 95,211.8834790193098,164.14402469328206,,Generation 95,200.09073290363787,166.36846470895784,,Generation 95,219.21290216255568,181.71742318612542,
Generation 96,198.72903507254182,157.70029512800602,,Generation 96,219.30975025269098,153.05511298313797,,Generation 96,213.80373003138504,168.5678572750803,,Generation 96,214.0160244984936,164.8168649146745,,Generation 96,226.5540366071777,183.86404947493463,
Generation 97,209.15785727480537,159.76571416638228,,Generation 97,216.71204423874082,156.70168489654952,,Generation 97,219.34960198451674,168.75737672154696,,Generation 97,213.94422445626714,162.4635445070238,,Generation 97,230.21210209704887,174.7901309255866,
Generation 98,213.91007854004303,156.55443032285723,,Generation 98,217.4793625495981,156.4045558592129,,Generation 98,204.93783435954927,164.6512675172503,,Generation 98,201.77360831204953,162.62895400529067,,Generation 98,231.31803116824804,162.94292858895938,
Generation 99,197.88378785294572,155.10721242381817,,Generation 99,202.22705358679875,154.9620712823496,,Generation 99,198.82247141535714,163.31949990634416,,Generation 99,197.20447361886275,155.6122099064196,,Generation 99,231.92118939942412,176.44864235294585,
Generation 100,191.76167219108655,155.03706248762614,,Generation 100,211.08879667302372,160.37520436880163,,Generation 100,208.16647647919297,163.57921470248948,,Generation 100,211.80324627375285,160.81722552908616,,Generation 100,228.55344998765162,174.69707835835777,
Best,191.76167219108655,155.03706248762614,,Best,198.7746452001832,153.05511298313797,,Best,198.82247141535714,161.6929848664504,,Best,197.20447361886275,155.6122099064196,,Best,217.43048887999754,162.94292858895938,
Generation,100,100,,Generation,92,96,,Generation,99,94,,Generation,99,99,,Generation,88,98,

17-32-28
The following is to test the effectivness of Scramble mutation
