Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 63,238.75184426623989,196.5183175145338,,Generation 63,273.8408032074853,218.34388141037812,,Generation 63,260.7661257337981,207.694085189406,,Generation 63,320.5099594954683,274.10650467800315,,Generation 63,272.85919284548817,213.7817497010858,
Generation 64,246.30350763364808,197.25302421170647,,Generation 64,275.09242241226906,210.61316144584384,,Generation 64,268.54035312885867,213.17402479738564,,Generation 64,329.86333625813035,276.80728223149583,,Generation 64,265.528314370954,219.2541045627312,
Generation 65,248.99356171407385,189.14473820232251,,Generation 65,273.01934368857127,213.54520076226163,,Generation 65,256.26436459396615,207.54537245621157,,Generation 65,328.5983987638366,259.8477879228533,,Generation 65,261.2923130786497,224.51350664408585,
Generation 66,250.18848334490045,190.11622434500737,,Generation 66,259.7766922809931,209.51117102718808,,Generation 66,264.17619542287514,207.25752886738258,,Generation 66,323.2517376202032,262.5746161355844,,Generation 66,255.93117447628686,214.82974441868987,
Generation 67,254.43036990778765,193.86499157020558,,Generation 67,250.25519830735072,202.11104775985655,,Generation 67,260.4028486724506,201.44681497621082,,Generation 67,314.28069308891315,257.48648324626254,,Generation 67,252.36382451421207,203.6448123668274,
Generation 68,248.2749625043359,179.6713222342612,,Generation 68,244.96732179658923,196.00636224198638,,Generation 68,259.2473002987417,202.0982174428848,,Generation 68,298.94405188621596,245.03607878853484,,Generation 68,248.60494314498857,200.32721307823397,
Generation 69,241.52308118054864,183.443461378586,,Generation 69,254.94411232477273,187.26537942985237,,Generation 69,243.71912512390216,198.92582930878427,,Generation 69,301.21417075886416,244.2013235879715,,Generation 69,260.60957279218854,201.23646248078376,
Generation 70,244.0493688343552,184.668896171474,,Generation 70,252.95344838845554,195.40647274113667,,Generation 70,248.78998575557696,196.20122749416555,,Generation 70,286.7819088961605,237.64314312312456,,Generation 70,244.81041884052982,200.3122016822199,
Generation 71,243.79077716950556,179.82782063170487,,Generation 71,250.99416128689697,192.03321406686996,,Generation 71,234.445703794116,197.69345185853967,,Generation 71,282.83010511615174,241.390127611131,,Generation 71,237.8729676491674,195.08202375561848,
Generation 72,240.31056844526935,174.38851557723012,,Generation 72,245.36983536973622,189.8645450223696,,Generation 72,232.5428777290265,195.13732885555726,,Generation 72,280.18709907204493,227.73326014791837,,Generation 72,230.3838591168316,192.11798214430212,
Generation 73,239.32516625952292,173.00173614373477,,Generation 73,232.97841551816245,189.16494747213437,,Generation 73,227.24548318075057,189.51803100355676,,Generation 73,287.40296495854966,232.1594826378564,,Generation 73,225.48167234281863,191.61989331888265,
Generation 74,220.288571402055,175.73344480662638,,Generation 74,240.86986586296302,186.5957462830395,,Generation 74,237.31386069439705,192.3200638584317,,Generation 74,272.3344642378413,220.39415993235423,,Generation 74,239.10465713935014,189.28757863857868,
Generation 75,214.0568722217028,172.54084000200032,,Generation 75,247.40253882260626,183.78490376204718,,Generation 75,226.10830969388462,183.1827061113105,,Generation 75,264.65726255394924,221.83413591372243,,Generation 75,226.67470076950212,187.63431620869744,
Generation 76,219.39939811955458,166.8546867515123,,Generation 76,240.0375549975566,186.2573970001538,,Generation 76,239.2652894707191,187.42636559052335,,Generation 76,270.37846018472135,220.1979908645891,,Generation 76,235.53356773638808,187.63431620869744,
Generation 77,210.58209979305343,172.3375122927696,,Generation 77,224.1666799600294,185.077262805612,,Generation 77,237.12234746069706,184.19574851045468,,Generation 77,274.1356716640012,216.43628658158946,,Generation 77,236.86837176019023,188.0864052671643,
Generation 78,207.35610899249346,171.4021424337176,,Generation 78,233.57809248363162,183.2895730488035,,Generation 78,237.244890785618,181.56660783943119,,Generation 78,257.10881140235455,217.89213504563554,,Generation 78,241.52974273972174,186.18223265260463,
Generation 79,219.52746920100154,168.7162259243338,,Generation 79,216.92825974155195,180.79854408287474,,Generation 79,224.3765702848281,188.86401997324117,,Generation 79,250.2267674144161,212.9711122321197,,Generation 79,225.08329408444553,187.72515248455431,
Generation 80,220.22533611616893,167.2054025594382,,Generation 80,213.11201786641152,176.3747980473836,,Generation 80,233.25226040027923,186.36237098959862,,Generation 80,260.2940507495914,209.68103566161744,,Generation 80,219.42850016047873,179.55587188575407,
Generation 81,221.98444599782061,165.021547339535,,Generation 81,211.11048184786353,169.9743767269556,,Generation 81,222.86626564346057,183.45230334865585,,Generation 81,262.84581742088955,205.35527405612174,,Generation 81,217.61450475146592,179.90153733070372,
Generation 82,207.24534239823038,162.5310159871308,,Generation 82,203.39674725085115,167.80961809865266,,Generation 82,215.12709154416495,182.6671751265676,,Generation 82,263.1356895854913,205.84444666705792,,Generation 82,215.50476318914684,178.00805419721712,
Generation 83,200.19540912478607,162.6977008659626,,Generation 83,213.94392051105976,169.67219886496446,,Generation 83,227.75690798421877,171.56100004095072,,Generation 83,265.4975080273987,212.7539698771708,,Generation 83,227.80416606247616,182.1346558828858,
Generation 84,208.27965822666255,159.93388488737207,,Generation 84,217.27015221352642,168.0482388903922,,Generation 84,228.0244008678424,178.61788187146453,,Generation 84,265.53954393829184,208.63397588249973,,Generation 84,231.79518301554853,181.20862710554695,
Generation 85,194.82605097500488,156.81474173393292,,Generation 85,220.88489799186038,165.6498917064721,,Generation 85,230.8556324355429,179.35761168721956,,Generation 85,265.59733950582194,205.18186791330743,,Generation 85,217.86874360485777,179.92628914633542,
Generation 86,208.21213848605674,160.90308708904,,Generation 86,203.00814877553694,162.96729710798672,,Generation 86,213.4648491274489,177.61322426197125,,Generation 86,249.58161034643058,205.90982754607626,,Generation 86,228.3218212727834,173.32944700832195,
Generation 87,193.31358151107494,155.85943170796907,,Generation 87,212.01516117443788,161.61378038263206,,Generation 87,225.31387349224235,179.02201402812295,,Generation 87,245.205194059798,206.60258220453625,,Generation 87,217.79135116172415,172.71093500614313,
Generation 88,193.4340126940471,154.021848102563,,Generation 88,212.99999066164483,159.0485171674868,,Generation 88,232.28052193863962,175.40317622214195,,Generation 88,254.98206848207008,201.7898496752042,,Generation 88,204.93131325009418,171.86504347367463,
Generation 89,204.42254131146456,154.9043264491462,,Generation 89,198.11389569189257,161.7024144765328,,Generation 89,217.12614070188903,171.0923817111509,,Generation 89,256.2687048729599,200.51046613715732,,Generation 89,202.95376675267462,165.5239295502596,
Generation 90,188.43627384046363,153.1179479941037,,Generation 90,211.99414372924994,163.28537187985512,,Generation 90,226.93788164192313,172.81399727875794,,Generation 90,251.09377279779065,193.88143445695266,,Generation 90,202.626222188733,162.3567646732198,
Generation 91,185.84665275710063,152.88951705327213,,Generation 91,212.8508779790595,166.63034242418553,,Generation 91,228.8148230836733,175.36610398067,,Generation 91,248.6236866860805,193.45204179468726,,Generation 91,216.61633482412697,159.35582665313325,
Generation 92,202.18079532565446,149.08140598092155,,Generation 92,214.6618159785095,163.570654529771,,Generation 92,214.29771980938452,176.09330779423135,,Generation 92,235.8083933750576,192.98928931228613,,Generation 92,220.9431187985876,165.09664923822584,
Generation 93,198.32947796485186,147.92417801894442,,Generation 93,215.90300647407508,163.92958113800228,,Generation 93,208.35515431491925,172.65631189694716,,Generation 93,241.53606325278207,190.49052291690293,,Generation 93,217.32104186563254,161.69153588159372,
Generation 94,202.97514060543458,147.22650008300855,,Generation 94,217.9000572227333,163.45498265223137,,Generation 94,219.69600156635664,173.1115581807942,,Generation 94,229.04864831371114,187.77460816732685,,Generation 94,219.4505279225518,158.55539356361066,
Generation 95,204.26762082400572,150.21630082494175,,Generation 95,201.46754087614957,162.5243969216042,,Generation 95,219.47917435712156,169.17262933567713,,Generation 95,236.06213541526643,186.93316696158627,,Generation 95,202.6390489521114,162.99514395258063,
Generation 96,205.11451297426854,151.16334965005615,,Generation 96,197.52755073329433,159.1409140000419,,Generation 96,212.55098173242402,171.36493548071917,,Generation 96,226.5804024460931,188.78374683087486,,Generation 96,199.21090703011615,158.42413462551644,
Generation 97,204.87060289774487,147.9855756273838,,Generation 97,209.0677833744945,159.8880104010666,,Generation 97,219.91048338666297,171.74787186752087,,Generation 97,221.51268681314133,178.06241734543732,,Generation 97,211.10877652004,155.56881621214654,
Generation 98,204.57374686078248,146.9615883339062,,Generation 98,196.64149053991605,156.4638228573342,,Generation 98,217.22100444353586,172.06746685064218,,Generation 98,235.84212314673215,186.65714952637018,,Generation 98,196.19740717890934,160.2877035930369,
Generation 99,206.8961101059035,150.51762893886007,,Generation 99,204.6737873466539,154.59538102660895,,Generation 99,222.25457914586693,174.8845480180372,,Generation 99,222.65727662894008,185.7012041142474,,Generation 99,205.353569325339,150.99693824205576,
Generation 100,204.64162875245987,150.08670268233175,,Generation 100,193.6934445332957,156.4968669527484,,Generation 100,210.5558199286962,173.15415941335868,,Generation 100,218.80266479691034,183.70932582186992,,Generation 100,208.7472505341203,152.65175887644068,
Best,185.84665275710063,146.9615883339062,,Best,193.6934445332957,154.59538102660895,,Best,208.35515431491925,169.17262933567713,,Best,218.80266479691034,178.06241734543732,,Best,196.19740717890934,150.99693824205576,
Generation,91,98,,Generation,100,99,,Generation,93,95,,Generation,100,97,,Generation,98,99,

19-05-04
50/50 random reset and and creep
